213.41.68.50	webmarchand.com
213.41.68.50	www.leguide.com
213.41.68.50	www.webmarchand.com
213.41.77.126	leguide.com
213.83.24.215	cadillaceurope.com
213.83.24.215	www.cadillaceurope.com
213.95.146.34	www.caselogic.com
216.12.145.20	sygatetech.com
216.12.145.20	symantec.com
216.12.145.20	symantec.org
216.136.1.150	ual.com
216.163.188.36	commandsoftware.com
216.163.188.56	authentium.com
216.163.188.79	www.commtouch.com
216.200.241.66	checkpoint.com
216.200.241.66	www.checkpoint.com
216.220.36.150	www.psion.com
216.230.117.185	www.safenet-inc.com
216.240.192.2	delphi.com
216.241.235.162	adaptec.com
216.255.66.122	mcdonalds.com
216.34.181.101	freshmeat.net
216.34.181.104	freecode.com
216.35.15.152	www.superantispyware.com
216.35.15.153	superadblocker.com
216.64.210.28	coca-cola.com
216.64.210.28	cocacola.com
216.64.210.28	www.cocacola.com
217.10.81.67	seat.com
217.10.81.67	seatfrance.com
217.108.85.76	sncf.com
217.109.152.86	www.pap.fr
217.109.56.160	cdiscount.com
217.109.67.157	www.conforama.fr
217.151.2.5	snpi.fr
217.151.2.5	www.snpi.com
217.188.247.192	eon.com
217.193.181.125	ilford.ch
217.19.51.136	guideducredit.com
217.19.51.136	www.guideducredit.com
217.195.25.208	microapp.com
217.195.25.208	www.microapp.com
217.25.178.248	www.franfinance.fr
23.23.152.48	snort.org
23.56.242.234	www.paypal.com
24.152.180.51	tgsoft.com
34.254.247.151	halliburton.com
37.235.93.108	groupe-auchan.com
37.58.150.251	www.3suisses.fr
37.58.150.253	www.lechouchou.com
37.59.186.109	memup.com
37.59.186.109	www.memup.com
46.105.164.143	www.sagemcom.com
46.105.60.203	7utile.com
46.19.179.65	nissan.fr
46.236.33.18	virgin.com
46.236.33.18	www.virgin.com
47.249.48.20	nortel.com
4.79.142.200	grc.com
4.79.142.202	www.grc.com
50.116.51.223	k7computing.com
54.221.243.173	citrix.fr
54.229.103.80	www.lafarge.com
54.229.193.174	www.lamborghini.com
54.236.239.189	bombardier.com
54.236.64.247	avery.com
54.236.64.247	avery.fr
54.246.128.75	lamborghini.com
54.247.68.40	2xmoinscher.com
54.247.68.40	www.2xmoinscher.com
5.9.248.144	freecom.com
60.212.17.10	jiangmin.com
62.128.100.134	viruslist.com
62.128.100.3	kaspersky.com
62.128.100.3	kaspersky.fr
62.128.100.3	kaspersky-labs.com
62.146.210.2	avira.com
62.146.210.2	www.avira.com
62.146.210.53	free-av.de
62.146.210.55	free-av.com
62.157.123.163	phoenixcontact.fr
62.164.140.209	rolls-royce.com
62.164.140.209	rollsroyce.com
62.164.140.209	www.rolls-royce.com
62.23.25.178	scor.com
62.23.30.116	www.leguide.com
62.23.7.71	faurecia.fr
62.73.6.8	livre-rare-book.com
62.73.6.8	www.livre-rare-book.com
62.93.193.11	nero.com
63.121.30.72	monster.com
63.251.212.235	viewsoniceurope.com
63.251.212.235	www.viewsoniceurope.com
63.68.132.236	icsalabs.com
64.26.251.145	lenovo.com
64.28.66.220	belarc.com
64.47.135.212	isuzu.com
64.47.135.212	www.isuzu.com
65.52.128.202	www.mistergooddeal.com
65.55.57.27	www.microsoft.com
65.55.58.201	sysinternals.com
66.112.210.152	contaxcameras.com
66.112.210.152	www.contaxcameras.com
66.129.99.100	sunbelt-software.com
66.129.99.82	www.threattracksecurity.com
66.135.200.23	ebay.be
66.135.205.14	ebay.com
66.135.210.182	www.ebay.fr
66.135.215.61	ebay.fr
66.160.131.147	stumbler.net
66.171.121.34	fortinet.com
66.171.121.34	www.fortinet.com
66.197.47.190	atshield.com
66.211.169.3	paypal.com
66.211.181.161	www.ebay.com
66.35.53.194	webroot.com
66.35.53.194	webroot.fr
66.35.53.194	www.webroot.com
66.35.53.194	www.webroot.fr
66.45.11.60	digitalriver.com
66.54.51.14	gsk.fr
67.20.177.160	belkin.com
67.20.177.160	www.belkin.com
67.202.194.73	subaru.com
67.210.114.4	admuncher.com
67.210.114.4	www.admuncher.com
67.229.126.178	avantbrowser.com
67.43.10.93	www.brightfort.com
68.64.190.181	adb.org
68.64.190.181	www.adb.org
69.10.228.157	chryslercanada.ca
69.10.228.157	www.chryslercanada.ca
69.18.148.58	pestpatrol.com
69.18.148.62	my-etrust.com
69.20.34.96	tdk.com
69.5.8.104	lapage.com
69.59.167.202	casio.com
69.59.167.202	www.casio.com
72.163.4.161	cisco.com
72.32.67.100	www.eset.com
72.34.128.111	gene.com
72.34.128.111	www.gene.com
72.52.145.185	daewoomotor.com
72.52.145.185	www.daewoomotor.com
72.52.6.10	sony.com
72.52.6.10	www.sony.com
72.52.6.140	sony-europe.com
72.52.7.22	sony.fr
74.220.126.81	www.autodesk.fr
74.220.126.91	autodesk.fr
74.220.126.92	autodesk.com
74.220.126.92	www.autodesk.com
74.50.120.86	majorgeeks.com
74.50.120.86	www.majorgeeks.com
74.50.123.8	arovaxshield.com
76.74.166.239	auditmypc.com
76.74.166.239	www.auditmypc.com
77.238.19.213	pirelli.com
77.238.19.213	www.pirelli.com
77.75.51.21	pixmania.com
77.75.51.85	www.pixmania.fr
78.153.248.205	davis-acoustics.com
78.153.248.205	www.davis-acoustics.com
79.141.193.11	www.nordnet.com
80.237.191.2	emsisoft.com
80.237.191.2	emsisoft.fr
80.237.191.2	www.emsisoft.com
80.237.191.2	www.emsisoft.fr
80.247.79.107	softpi.com
80.65.131.81	brussels-airlines.com
80.65.131.81	brusselsairlines.com
80.65.131.81	www.brusselsairlines.com
80.65.232.105	grosbill.com
80.65.232.105	www.grosbill.com
80.78.10.65	darty.com
80.85.89.17	bentleymotors.com
81.200.177.54	publicisgroupe.com
81.223.137.247	maxdata.com
81.252.137.156	europcar.fr
81.252.137.156	www.europcar.fr
81.80.208.143	www.gmf.fr
81.88.48.91	amen.fr
81.88.48.91	www.amen.fr
82.147.23.140	alstom.com
82.147.23.140	www.alstom.com
82.150.226.198	aircanada.ca
82.192.87.17	kerio.eu
82.192.87.17	kerio.fr
82.98.106.82	chevroleteurope.com
82.98.106.82	www.chevroleteurope.com
82.98.119.1	cadillac.com
83.125.32.111	www.eads.com
83.145.95.68	trains-fr.org
83.169.73.239	www.lcl.com
83.169.74.228	www.cofinoga.fr
83.169.86.177	www.mediatis.fr
83.206.67.137	labanquepostale.fr
83.231.216.140	boursorama.com
83.231.226.12	www.boursorama.com
84.14.103.254	eveiletjeux.com
84.14.113.82	bred.fr
84.14.113.82	www.bred.fr
84.14.151.252	campanile.fr
84.14.151.252	www.campanile.com
